ngram,corpus frequency,document frequency,rank in corpus
hollow,46,26,480
gentlewoman,46,18,480
forsooth,46,19,480
egypt,46,3,480
cup,46,20,480
britain,46,7,480
breed,46,25,480
aid,46,19,480
yond,45,20,481
wont,45,22,481
tarry,45,22,481
smiles,45,24,481
mettle,45,23,481
merit,45,24,481
list,45,24,481
it's,45,15,481
honoured,45,21,481
gown,45,16,481
garments,45,20,481
fiery,45,21,481
fairly,45,24,481
execution,45,20,481
dying,45,22,481
dread,45,20,481
despite,45,22,481
contempt,45,21,481
constant,45,21,481
commission,45,19,481
chide,45,24,481
burden,45,20,481
brains,45,23,481
bow,45,24,481
bottom,45,21,481
behalf,45,24,481
bark,45,23,481
